listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description
Ein in den USA unter besten Bedingungen hergestelltes Full Spectrum Butan Honey Oil. Volles Spektrum bedeutet, dass neben dem Cannabinoid THC noch weitere Cannabidoide in hoher Konzentration enthalten sind, wie z.B. CBD, CBDa und THCa. Jedes Cannabinoid hat seine Eigenschaften und Einsatzgebiet. Neben einem angenehmen High hat das ƒl also einen hohen medizinischen Nutzen.

Wax, auch bekannt als Dab, Crumble, Sugar, Honeycomb und Budder wird unter der Verwendung von Butan (ein Flôssiggas) als L_sungsmittel fôr die Extraktion der wichtigsten Cannabinoide und Terpene aus den Cannabisblôten hergestellt. Das daraus entstehende Gemisch wird dann zu einem Konzentrat verarbeitet, das ein bisschen wie Bienenwachs aussieht. Der Herstellungsprozess von Cannabis-Wax variiert und kann in einer Vielzahl verschiedener Produkte mit einzigartigen Beschaffenheiten und Farben resultieren. Per Vakuum werden die letzten Reste von Butangas entfernt, ein absolutes HQ Produkt.

Es gibt verschiedene Methoden, Cannabisextrakte wie Wax zu konsumieren. Bedenke, dass manche besonders flôssigen, klebrigen oder sonst wie hart zu handhabenden Wachse sich nicht sonderlich eignen, in einen Joint gemischt oder in einem Verdampfer oder einer Haschpfeife verwendet zu werden und sie k_nnen den Einsatz einer Dab- oder Oil-Rig erforderlich machen.

Allerdings kann man das Konzentrat in den Kôhlschrank legen, so erh_rtet es und man kann es besser handhaben. Gern br_sel ich mir so etwas oben in den Joint.

Haschpfeifen:

Es gibt einige neuere Haschpfeifen auf dem Markt, die es Konsumenten erm_glichen, ohne Probleme Konzentrate wie Wachse zu genie_en. Auf diese Art musst Du nicht in einen anspruchsvolleren (teureren) Verdampfer oder eine Rig investieren. Achte darauf, dass die von Dir gekaufte Pfeife speziell fôr l_semittelbasierte Extrakte und nicht nur fôr Kief oder normales Hasch geeignet ist.

Verdampfer:

Verdampfer sind die beste Option fôr alle, die den gesundheitsgef_hrdenden Risiken des Rauchens aus dem Weg gehen wollen. Obwohl Verdampfer traditionell nicht fôr Extrakte ausgelegt sind, k_nnen manche neuere Modelle dafôr verwendet werden.

Allerdings sind die meisten dieser Modelle tragbar und minderwertigeren Verdampfern wird nachgesagt, schlecht zu ziehen. Wahrscheinlich weil sie die hohen Temperaturen nicht erreichen k_nnen, die fôr das ordentliche Verdampfen von Konzentraten notwendig sind.

Dabbing:

Extrakte wie Wax werden oft als –Dabs” bezeichnet, da Dabbing die h_ufigste Art des Konsums ist. Dabbing umfasst die Verwendung spezieller Werkzeuge: Einem –Nagel”, einem Bunsenbrenner und einer Dab-Rig.

Der Nagel wird ôblicherweise mit dem Bunsenbrenner erhitzt (oder elektronisch, wenn Du einen E-Nail hast) und eine kleine Menge des Konzentrats wird auf der Spitze platziert. Der von der Hitze entwickelte Dampf wird dann mit einer speziellen Pfeife inhaliert, die oft Wasser als Filter verwendet.

Vapepen:

Ich kann den Puffco+V2 w_rmstens empfehlen, er hat eine Kammer fôr das BHO und alternativ auch ein Schraubgewinde, um Cartridges oder andere Eliquids zu konsumieren. Ein echter Hingucker und ein tolles Raucherlebnis.
"

10 x Disposable 98% THC-OIL Vapes *SUPER STRONG!*,KannaMedsUk,concentrate,eliquid,cannabis,ESCROW,0.993, 2019-06-01,UK,selected,389.08,unit,"10 x Disposable 98% THC-OIL Vapes SUPER STRONG! Choose Strain! FREE P&P

SUPER STRONG - MADE FROM 98% THC CONCENTRATE - POTENT

We ship to Europe, UK and Australia!

Get locked and loaded with the silver bullet! This smooth fast acting device is good for the beginner smoker all the way up to our beloved connoisseurs. Filled with the highest grade full spectrum distillate THC oil with the choice of added flavor or natural/original. This pen packs in the power with all the true flavoring people have been asking for. Designed for convenience and people on the •goê. A few deep vapes is all you need!

10 x Ready to use PRE CHARGED - DISPOSABLE vape 0.5 g (EACH) 98% THC oil - Maximum strength

The finest, purest and strongest THC vape oil on the Market!

Pre - Filled Pre-charged (better vaping experience) 100% Organic Higher THC level Smoother Experience No paranoia No alcohol, No solvents, No butane, No preservatives. No Nicotine. No Waxes. NO synthetics EXTRA REFINED DE-WAXED OILÄno more blocked coils!

FREE FAST FIRST CLASS POSTAGE ON ALL ORDERS TO UK

As you can see from the images the oil is a wonderful light golden color. Oil colour may vary between strains

=======FLAVORS======= Available in a variety of flavors or natural unflavored. All flavors and original are the same in potency. No difference in strength. Flavors help to mask the smell of cannabis so you can use the product more discreetly. Subtle in taste.

======AVAILABLE FLAVORS - PLEASE CHOOSE===== Ice Mint Banana Blueberry Pineapple Strawberry (strongest/best masking of smell) Grape Original Unflavored (no masking.full natural taste)

PLEASE SPECIFY FLAVOR/STRAIN YOU WOULD LIKE WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR/ STRAIN REQUEST WE WILL SEND YOU ORIGINAL AND MIX OF STRAINS

=====STRAINS - PLEASE CHOOSE ======= Bruce Banner #3 Super lemon haze Delicious candy Cream Caramel Blueberry Skunk Cheese Amnesia Haze Blueberry

simply remove from tube packaging and start to vape. Once finished store back in tube packaging to protect the vape. You can use a little one day, store and return when you like. Vape is designed to be disposable . However should you wish to add charge this can be done via any android USB chargers. The vape can be charged via computer/laptop/USB plug/car USB port. **CHARGER IS NOT SUPPLIED many customers report to be successfully re used 5-10 times. The vape is of very good standard. cart not detachable

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you are used to the product.

NO WASTE. NO LEAVES. WAXES OR IMPURITIES USED IN OUR CANNABIS OILS.

Super Safe and Discreet sealed Mylar bag packaging. Sealed and smell proof. Highly confidential and Discreet. No Sign required.
Manifesto | FAQ | Direct Deposits Info | Multisig Info | Forums "

1g TANGIE / BHO SHATTER #CALI #MANARINE,CannabisFreund,concentrate,concentrate,cannabis,ESCROW BULK DISCOUNTS,1, 2019-04-22,germany,europe,66.87,1g,"??BUTANHONEYOIL/SHATTER/<80%THC??????

??Full Spectrum Butan Honey Oil ??Sativa/Indika Hybrid ??ôber 80% THC ??aus Tangie Blôten ??riecht und schmeckt enorm nach Mandarine
??medizinisches Cannabis ??wirkt energetisierend, euphorisch ??f_rdert die Kreativit_t, focussierend ??lindert Angstzust_nde, gegen Despression, Stress und Schmerz

Ein in den USA unter besten Bedingungen hergestelltes Full Spectrum Butan Honey Oil. Volles Spektrum bedeutet, dass neben dem Cannabinoid THC noch weitere Cannabidoide in hoher Konzentration enthalten sind, wie z.B. CBD, CBDa und THCa. Jedes Cannabinoid hat seine Eigenschaften und Einsatzgebiet. Neben einem angenehmen High hat das ƒl also einen hohen medizinischen Nutzen.

Wax, auch bekannt als Dab, Crumble, Sugar, Honeycomb und Budder wird unter der Verwendung von Butan (ein Flôssiggas) als L_sungsmittel fôr die Extraktion der wichtigsten Cannabinoide und Terpene aus den Cannabisblôten hergestellt. Das daraus entstehende Gemisch wird dann zu einem Konzentrat verarbeitet, das ein bisschen wie Bienenwachs aussieht. Der Herstellungsprozess von Cannabis-Wax variiert und kann in einer Vielzahl verschiedener Produkte mit einzigartigen Beschaffenheiten und Farben resultieren. Per Vakuum werden die letzten Reste von Butangas entfernt, ein absolutes HQ Produkt.

Es gibt verschiedene Methoden, Cannabisextrakte wie Wax zu konsumieren. Bedenke, dass manche besonders flôssigen, klebrigen oder sonst wie hart zu handhabenden Wachse sich nicht sonderlich eignen, in einen Joint gemischt oder in einem Verdampfer oder einer Haschpfeife verwendet zu werden und sie k_nnen den Einsatz einer Dab- oder Oil-Rig erforderlich machen.

Allerdings kann man das Konzentrat in den Kôhlschrank legen, so erh_rtet es und man kann es besser handhaben. Gern br_sel ich mir so etwas oben in den Joint.

Haschpfeifen:

Es gibt einige neuere Haschpfeifen auf dem Markt, die es Konsumenten erm_glichen, ohne Probleme Konzentrate wie Wachse zu genie_en. Auf diese Art musst Du nicht in einen anspruchsvolleren (teureren) Verdampfer oder eine Rig investieren. Achte darauf, dass die von Dir gekaufte Pfeife speziell fôr l_semittelbasierte Extrakte und nicht nur fôr Kief oder normales Hasch geeignet ist.

Verdampfer:

Verdampfer sind die beste Option fôr alle, die den gesundheitsgef_hrdenden Risiken des Rauchens aus dem Weg gehen wollen. Obwohl Verdampfer traditionell nicht fôr Extrakte ausgelegt sind, k_nnen manche neuere Modelle dafôr verwendet werden.

Allerdings sind die meisten dieser Modelle tragbar und minderwertigeren Verdampfern wird nachgesagt, schlecht zu ziehen. Wahrscheinlich weil sie die hohen Temperaturen nicht erreichen k_nnen, die fôr das ordentliche Verdampfen von Konzentraten notwendig sind.

Dabbing:

Extrakte wie Wax werden oft als –Dabs” bezeichnet, da Dabbing die h_ufigste Art des Konsums ist. Dabbing umfasst die Verwendung spezieller Werkzeuge: Einem –Nagel”, einem Bunsenbrenner und einer Dab-Rig.

Der Nagel wird ôblicherweise mit dem Bunsenbrenner erhitzt (oder elektronisch, wenn Du einen E-Nail hast) und eine kleine Menge des Konzentrats wird auf der Spitze platziert. Der von der Hitze entwickelte Dampf wird dann mit einer speziellen Pfeife inhaliert, die oft Wasser als Filter verwendet.

Vapepen:

Ich kann den Puffco+V2 w_rmstens empfehlen, er hat eine Kammer fôr das BHO und alternativ auch ein Schraubgewinde, um Cartridges oder andere Eliquids zu konsumieren. Ein echter Hingucker und ein tolles Raucherlebnis.
"

10 x 1ml 85% THC - Vape syringes (6 strains available),KannaMedsUk,concentrate,eliquid,cannabis,ESCROW,0.993, 2019-06-01,UK,selected,389.08,unit,"*LISTING IS FOR 10 X 1ML SYRINGE **

10 x 1 ML THC syringe THC ready to vape 85% THC Variety of strains & flavors available

10 x 1 ML THC syringe THC E-Vape Maximum strength

The finest, purest and strongest THC vape oil on the market! 100% Organic THC Higher THC level Smoother Experience No paranoia Winterized & De-Waxed No alcohol, No solvents, No butane, No preservatives. No Nicotine. No Waxes. EXTRA REFINED OIL

Easily fits through standard letterbox. Super safe & Smell proof mylar packaging Orders posted mon-fri - cut off 1pm for same day postage Messages answered mon-fri within 24 hrs Any questions please send us a message :) happy to help!

FREE FAST FIRST CLASS POSTAGE ON ALL ORDERS IN UK!

As you can see from the images the oil is a wonderful light golden color. Oil colour may vary between strains

This products is ready to vape. Simple add straight to your vape atomizer (ensure is suitable for heavy/thick oil). No need to dilute. No need to mix

=====STRAINS====PLEASE CHOOSE STRAINS CHEESE / Super lemon haze/ Blueberry skunk / Delicious candy / AMNESIA HAZE / BRUCE BANNER #3 / Cream caramel

Available in a variety of flavors or natural unflavored. All flavors and original are the same in potency. No difference in strength. Flavors help to mask the smell of cannabis so you can use the product more discreetly.

=====flavors======*PLEASE CHOOSE FLAVORS Ice Mint / Banana / Blueberry / Pineapple / Strawberry (strongest/best masking of smell) / Grape /
Original Unflavored (no masking.full natural taste) /

PLEASE SPECIFY FLAVOR YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL.

Recommended to use with low watt battery. Mods can be too powerful and burn the product. Ideal for vape batteries in range of 150-350 mAh.

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you are used to the product.

NO WASTE. NO LEAVES. WAXES OR IMPURITIES USED IN OUR CANNABIS OILS.

Super Safe and Discreet sealed Mylar bag packaging. Sealed and smell proof. Standard plain bubble envelope which fits through standard size letter box. Highly confidential and Discreet. No Sign required.
"

3 Grams of HQ nn DMT Freebase Crystals (100% ORGANIC-VEGAN),UnrealOrganics,DMT AMT,other,psychedelic,ESCROW,0.995, 2019-04-26,US,US,310,3g,"In this listing you are buying 3 Grams of this High Quality ORGANIC DMT Crystals (in some cases powder)! (no chemicals used from growing the bush, to the crystals, all process is toxic chemical free)

We have mastered the way of extracting DMT so we dont have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days.

I recommend the following doses when smoking my NN-DMT:

Beginners 20-30mg

Experienced 50mg

Space Cadets 60mg

NN-DMT should be smoked in a vaporiser or a pipe/bong. When smoking with a pipe/bong it is strongly advised to place a layer of cigarette ash onto the gauze before placing the NN-DMT onto the layer of ash. Please note that my batches of NN-DMT vary in colour, ranging from beige to a light shade of brown. This is due to the variables in batches of Mimosa Hostilis bark in addition to the many variables associated with the extraction process. The shade of the final product never influences the potency of the NN-DMT batch.
